question,answer,url
in texas how is the commissioner of insurance placed in office,['Appointed'],https://en.wikipedia.org//w/index.php?title=Insurance_commissioner&amp;oldid=833145638
when was the last time the boston red sox pitched a no-hitter,"['May 19, 2008']",https://en.wikipedia.org//w/index.php?title=List_of_Boston_Red_Sox_no-hitters&amp;oldid=833856142
what type of tale is the pardoner's tale,['an extended exemplum'],https://en.wikipedia.org//w/index.php?title=The_Pardoner%27s_Tale&amp;oldid=828975973
only player to play for manchester united manchester city liverpool and everton,['Peter Andrew Beardsley'],https://en.wikipedia.org//w/index.php?title=Peter_Beardsley&amp;oldid=838510100
what was the name of darth vader star destroyer,['Devastator'],https://en.wikipedia.org//w/index.php?title=Star_Destroyer&amp;oldid=821739407
who has won the 2018 formula one australia grand prix tournament,['Sebastian Vettel'],https://en.wikipedia.org//w/index.php?title=2018_Australian_Grand_Prix&amp;oldid=836697469
where does the saskatchewan river start and end,"['central Saskatchewan', 'the Hudson Bay']",https://en.wikipedia.org//w/index.php?title=North_Saskatchewan_River&amp;oldid=830440316
who plays spock in the new star trek movies,['Zachary John Quinto'],https://en.wikipedia.org//w/index.php?title=Zachary_Quinto&amp;oldid=836730736
what were the two causes of the dust bowl,"['severe drought', 'a failure to apply dryland farming methods to prevent wind erosion']",https://en.wikipedia.org//w/index.php?title=Dust_Bowl&amp;oldid=838466625
who sings the song it ain't me,['Selena Gomez'],https://en.wikipedia.org//w/index.php?title=It_Ain%27t_Me&amp;oldid=837863799
where did the first persian gulf war take place,"['Iraq', 'Kuwait', 'Saudi Arabia', 'Israel', 'Persian Gulf']",https://en.wikipedia.org//w/index.php?title=Gulf_War&amp;oldid=819431369
when will notre dame played michigan state again,['2026'],https://en.wikipedia.org//w/index.php?title=Michigan_State%E2%80%93Notre_Dame_football_rivalry&amp;oldid=802689273
who came up with the term baby boomer,['The Washington Post'],https://en.wikipedia.org//w/index.php?title=Baby_boomers&amp;oldid=817775340
who played shmuel in the boy in the striped pyjamas,['Jack Scanlon'],https://en.wikipedia.org//w/index.php?title=The_Boy_in_the_Striped_Pyjamas_(film)&amp;oldid=817547441
when did john hart play the lone ranger,['from 1952 until 1953'],https://en.wikipedia.org//w/index.php?title=John_Hart_(actor)&amp;oldid=792024519
where does water come from in new york city,"['The New Croton Aqueduct', 'The Catskill Aqueduct', 'The Delaware Aqueduct']",https://en.wikipedia.org//w/index.php?title=New_York_City_water_supply_system&amp;oldid=799235844
who is the founder of el pollo loco,['Juan Francisco Ochoa'],https://en.wikipedia.org//w/index.php?title=El_Pollo_Loco&amp;oldid=836322582
which abbott and costello movie has who on first,"['One Night in the Tropics', 'The Naughty Nineties']",https://en.wikipedia.org//w/index.php?title=Who%27s_on_First%3F&amp;oldid=837240170
where is the manifold absolute pressure sensor located,"[""internal combustion engine's electronic control system""]",https://en.wikipedia.org//w/index.php?title=MAP_sensor&amp;oldid=816420781
where does the movie road to perdition take place,"['Rock Island, Illinois']",https://en.wikipedia.org//w/index.php?title=Road_to_Perdition&amp;oldid=801006823
where will the oscars be held this year,"['Dolby Theatre in Hollywood, Los Angeles, California']",https://en.wikipedia.org//w/index.php?title=90th_Academy_Awards&amp;oldid=838474475
what's in a beam me up scotty,"['phencyclidine', 'cocaine']","https://en.wikipedia.org//w/index.php?title=Beam_me_up,_Scotty&amp;oldid=837862380"
who sings find out who your friends are with tracy lawrence,"['Tim McGraw', 'Kenny Chesney']",https://en.wikipedia.org//w/index.php?title=Find_Out_Who_Your_Friends_Are&amp;oldid=819124867
who plays the voice of john smith in pocahontas,['Mel Gibson'],https://en.wikipedia.org//w/index.php?title=Pocahontas_(1995_film)&amp;oldid=821142559
when does zay come to girl meets world,"['May 13, 2015']",https://en.wikipedia.org//w/index.php?title=List_of_Girl_Meets_World_episodes&amp;oldid=837547946
what is the approximate volume of blood in your body,"['approximately 5 liters, with females generally having less blood volume than males']",https://en.wikipedia.org//w/index.php?title=Blood_volume&amp;oldid=813741213
which body system differentiates a male from a female,"['the presence or absence of a Y chromosome', 'the type of gonads', 'the sex hormones', 'the internal reproductive anatomy (such as the uterus in females)', 'the external genitalia']",https://en.wikipedia.org//w/index.php?title=Sex_differences_in_humans&amp;oldid=817427411
who wrote old flames cant hold a candle to you,['Pebe Sebert and Hugh Moffatt'],https://en.wikipedia.org//w/index.php?title=Old_Flames_Can%27t_Hold_a_Candle_to_You&amp;oldid=805144048
who sang oh annie i not your daddy,['Kid Creole and the Coconuts'],"https://en.wikipedia.org//w/index.php?title=Annie,_I%27m_Not_Your_Daddy&amp;oldid=833560805"
who was the first to say i'm going to disney world,['Phil Simms'],https://en.wikipedia.org//w/index.php?title=I%27m_going_to_Disney_World!&amp;oldid=818137828
when did houston go to the american league,['2013'],https://en.wikipedia.org//w/index.php?title=Houston_Astros&amp;oldid=822155749
who is the current director of the us mint,['David Motl'],https://en.wikipedia.org//w/index.php?title=Director_of_the_United_States_Mint&amp;oldid=836791366
who is the longest serving manager in manchester united history,['Sir Alex Ferguson'],https://en.wikipedia.org//w/index.php?title=List_of_Manchester_United_F.C._managers&amp;oldid=837577650
what word is used to describe knowledge about the universe and method of obtaining that knowledge,['epistemology'],https://en.wikipedia.org//w/index.php?title=Empiricism&amp;oldid=815920725
who are the only 2 families that have had 3 generations of oscar winners,"['The Hustons', 'the Coppolas']",https://en.wikipedia.org//w/index.php?title=List_of_Academy_Award-winning_families&amp;oldid=812062034
who is going to host the 2018 winter olympics,"['Pyeongchang County, South Korea']",https://en.wikipedia.org//w/index.php?title=2018_Winter_Olympics&amp;oldid=819510807
who sang in the movie i walk the line,"['Joaquin Phoenix', 'Reese Witherspoon', 'Waylon Payne', 'Johnathan Rice', 'Tyler Hilton', 'Shooter Jennings']",https://en.wikipedia.org//w/index.php?title=Walk_the_Line_(soundtrack)&amp;oldid=801148526
who decides the number of judges in the high court,['the President of India'],https://en.wikipedia.org//w/index.php?title=Indian_High_Courts_Act_1861&amp;oldid=813167323
who wrote trust and believe by keyshia cole,['Guordan Banks and Jessyca Wilson of R&B duo The Righterz'],https://en.wikipedia.org//w/index.php?title=Trust_and_Believe&amp;oldid=833723229
who starred in the remake of true grit,"['Hailee Steinfeld', 'Jeff Bridges', 'Matt Damon', 'Josh Brolin', 'Barry Pepper']",https://en.wikipedia.org//w/index.php?title=True_Grit_(2010_film)&amp;oldid=838480788
who played the villain in tiger zinda hai,['Sajjad Delafrooz'],https://en.wikipedia.org//w/index.php?title=Tiger_Zinda_Hai&amp;oldid=821996823
where do kidneys for kidney transplant come from,"['deceased-donor (formerly known as cadaveric)', 'living-donor']",https://en.wikipedia.org//w/index.php?title=Kidney_transplantation&amp;oldid=821845441
why did the attack on pearl harbor take place,"['as a preventive action to keep the U.S. Pacific Fleet from interfering with military actions that were planned in Southeast Asia against overseas territories of the United Kingdom, the Netherlands, and the United States']",https://en.wikipedia.org//w/index.php?title=Attack_on_Pearl_Harbor&amp;oldid=817368546
where is final four being held this year,"['the Alamodome in San Antonio, Texas']",https://en.wikipedia.org//w/index.php?title=2018_NCAA_Division_I_Men%27s_Basketball_Tournament&amp;oldid=837560621
who won la liga in the last 10 years,"['Real Madrid', 'Barcelona', 'Atlético Madrid']",https://en.wikipedia.org//w/index.php?title=List_of_Spanish_football_champions&amp;oldid=818806215
is parallax more pronounced with nearby stars or with distant stars,['nearby objects show a larger parallax than farther objects'],https://en.wikipedia.org//w/index.php?title=Parallax&amp;oldid=818410624
what is pumped up kicks the song about,['the homicidal thoughts of a troubled youth'],https://en.wikipedia.org//w/index.php?title=Pumped_Up_Kicks&amp;oldid=837927081
when was the first dark tower book published,['1982'],https://en.wikipedia.org//w/index.php?title=The_Dark_Tower_(series)&amp;oldid=807035520
which organelle is the site of atp production and storage,['mitochondrion'],https://en.wikipedia.org//w/index.php?title=Organelle&amp;oldid=817387602
when did the sims 4 toddlers come out,"['January 12, 2017']",https://en.wikipedia.org//w/index.php?title=The_Sims_4&amp;oldid=836135589
what is the source of information for account receivables,['invoices'],https://en.wikipedia.org//w/index.php?title=Accounts_receivable&amp;oldid=815166986
how many gallons of water in the gulf of mexico,"['2,500 quadrillion liters (550 quadrillion Imperial gallons, 660 quadrillion US gallons, 2.5 million km3 or 600,000 cu mi)']",https://en.wikipedia.org//w/index.php?title=Gulf_of_Mexico&amp;oldid=817436984
where does sex and the city take place,['New York City'],https://en.wikipedia.org//w/index.php?title=Sex_and_the_City&amp;oldid=822220619
